mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__optimizer;param_model__neurons;param_model__loss;param_model__kernel_initializer;param_model__dropout_rate;param_model__activation;param_epochs;param_batch_size;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score
26.26769367853801;2.287680777942955;0.7517135938008627;0.099030265073628;sgd;4;mae;random_uniform;0.3;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53646.680106297965;-54049.6684185542;-54355.025982389205;-54017.12483574712;290.0951379924722;65
28.909121910731;0.3797193629464006;0.7953638235727946;0.0337999766961295;sgd;16;mae;normal;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-52804.51723398351;-53209.251273778806;-53513.834240445845;-53175.86758273605;290.53801476444806;55
51.09352644284567;0.1689618854337185;0.7460672855377197;0.019817642291292;adam;32;mse;random_uniform;0.3;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53529.20281137609;-53933.28215756787;-54236.79658175444;-53899.76051689946;289.8447990038671;62
52.82507832845052;4.435125001034286;0.8282020886739095;0.0518830793291422;sgd;32;mae;normal;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-49375.93898953484;-49780.41435971631;-50084.55176974273;-49746.968372997966;290.2550528864339;48
56.69981813430786;0.3794606954648088;0.7059822082519531;0.113916625793369;adam;16;mae;normal;0.3;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-7835.103660661235;-23699.89678268366;-8776.120986256026;-13437.04047653364;7267.096764287639;28
28.434632698694863;0.217908747287686;0.8013416131337484;0.1172566597654342;sgd;16;mse;random_uniform;0.3;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-8969.978290550498;-8956.033927116496;-8877.838391246474;-8934.616869637823;40.55003513539377;14
30.33160392443339;0.040858134858802;0.8364380995432535;0.0541949541450668;adam;16;mae;normal;0.3;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53871.348631993766;-54274.97368588818;-54579.17322981631;-54241.83184923275;289.9168861626076;78
25.6264108022054;2.39311832919992;0.6809749603271484;0.0187784606851732;sgd;32;mae;normal;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-51685.144114630966;-52090.60015073193;-52395.47364474272;-52057.07263670187;290.9582799245431;53
47.81471514701843;3.539294482837082;0.821476141611735;0.0746951143011901;sgd;4;mae;normal;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53297.29341806554;-53702.16100278271;-54004.038342008345;-53667.8309209522;289.5467869718659;57
52.268906037012734;3.4953307159123104;0.7028064727783203;0.0578424925919294;sgd;16;mae;normal;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-51618.53518203344;-52023.94634213818;-52325.9685177896;-51989.483347320405;289.8347283581085;50
49.39252654711405;3.609241826680935;0.7625649770100912;0.1002539741927527;sgd;4;mae;normal;0.2;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-53856.58278574133;-54260.3469921626;-54564.65050936674;-54227.19342909022;290.016487310999;76
57.8649320602417;4.15413068903402;0.7848836580912272;0.0366195742017082;adam;16;mae;random_uniform;0.3;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-6042.956737544076;-7160.320258063438;-5864.099531301835;-6355.792175636449;573.5541541513642;4
31.51039282480876;2.2759219707595046;0.8677293459574381;0.1479074107141016;sgd;32;mse;normal;0.3;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};;;;;;92
29.51683004697164;0.957810962382354;0.8433224360148112;0.0569594017904535;sgd;4;mae;random_uniform;0.2;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-53926.603598729605;-10661.674375334704;-12149.697296146842;-25579.325090070382;20053.75612678475;36
26.73321294784546;1.7515931184140583;0.7336624463399252;0.1286897712572344;sgd;32;mse;random_uniform;0.2;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-9056.73832336354;-8919.099485357036;-8937.807493188324;-8971.2151006363;60.95442892573472;19
32.50249091784159;0.5735914674398569;0.8285418351491293;0.0430141291324699;adam;16;mse;normal;0.3;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-12525.681299247171;-8025.175164827706;-15142.850511571934;-11897.902325215604;2939.490365759541;27
31.52457435925801;0.8041650083900508;0.7218062877655029;0.0951375453161316;adam;32;mae;normal;0.2;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53758.30588471468;-54160.95316281689;-54464.76227999663;-54128.00710917607;289.34897205804447;71
49.71625757217407;4.097130289551093;0.6802426973978678;0.0355869797668559;sgd;4;mae;normal;0.3;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53298.76534189367;-53703.273917821774;-54005.17823458647;-53669.07249810064;289.4040964624369;58
56.21425700187683;2.2149751447304533;0.6551698843638102;0.0397001311850479;adam;16;mse;normal;0.3;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53752.5374823966;-54157.46689572705;-54461.18992281889;-54123.73143364751;290.2879391000233;70
